dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1609459200,2021-01-01 00:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,269.33,10000,267.15,265.49,267.94,270.77,1026,,,83,2.6,90,0,,,,,75,803,Clouds,broken clouds,04n
1609462800,2021-01-01 01:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,269.29,10000,266.97,265.44,267.38,271.32,1027,,,82,2.6,80,0,,,,,1,800,Clear,sky is clear,01n
1609466400,2021-01-01 02:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,268.82,10000,266.79,264.88,268.09,271.32,1027,,,84,2.6,60,0,,,,,1,800,Clear,sky is clear,01n
1609470000,2021-01-01 03:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,268.41,10000,265.96,263.85,266.83,271.08,1027,,,81,3.1,40,0,,,,,1,800,Clear,sky is clear,01n
1609473600,2021-01-01 04:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,268.84,10000,266.81,265.53,267.38,270.92,1027,,,84,2.1,70,0,,,,,1,800,Clear,sky is clear,01n
1609477200,2021-01-01 05:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,269.51,10000,267.74,264.32,267.9,270.36,1026,,,86,4.1,90,0,,,,,1,800,Clear,sky is clear,01n
1609480800,2021-01-01 06:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,270.11,,268.73,268.22,268.46,271.08,1025,,,89,1.34,98,4.92,,,,,100,804,Clouds,overcast clouds,04n
1609484400,2021-01-01 07:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,270.52,10000,268.6,264.88,269.57,271.43,1025,,,85,5.1,80,0,,,,,1,800,Clear,sky is clear,01n
1609488000,2021-01-01 08:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,270.99,10000,269.2,270.99,269.96,272.03,1025,,,86,0.89,88,4.02,,,,,1,800,Clear,sky is clear,01n
1609491600,2021-01-01 09:00:00 +0000 UTC,-18000,Muncie,40.193377,-85.38636,271.44,10000,269.78,265.18,270.48,272.11,1024,,,87,6.7,100,11.3,,,,,90,804,Clouds,overcast clouds,04n
